,id,reviewScore,createDate,reviewContent
0,3372149293,2,2022-02-21T00:05:04.098+0000,요근래 먹은 오메가3중에 제일 별로에요 입에 넣자마자 비린내가 올라와서 깜짝놀랐어요 뒤에 함량표시 보니까 왠 고등어함류......... 진짜 고등어맛이 나요 저만 그런게아니라 가족이 모두 비린내가 난대요 진짜오메가3 여러브랜드 먹어봤는데 이게뭔일인지 그리구 식물성캡슐이 더 말랑말랑느낌이라 목넘김이 부드러운편인데 이건 완전 딱딱해서 알약을 삼키는 느낌이랄까 함량은 높아서 한알만먹어도 돼는건 좋은데 개선이 필요합니다
1,3369820133,5,2022-02-17T11:04:29.815+0000,산화되지 않은 기름같이 신선한 색깔과 로켓 배송에 감사해요 할인 행사도 많이 하면 더 좋을 것 같아요  믿고 구매합니다 가성비 진짜 좋아요  재구매 할인또는  여러개 사면 할인율 더 좋아지면 좋겠구요   항상 좋은 제품 저렴하게 득템할 수 있어서  이 브랜드만  골고루 먹고있어요  항상 상품 개발 열심히 해주세요 찐팬입니다
2,3367895046,5,2022-02-15T06:09:35.467+0000,확실히 알이 작아서 3개도 잘넘어가네요 직구로먹던게 너무비싸지기도했고 약도 엄청컸네요 ㅎㅎ5년넘게 직구오메가만먹었었는데 GNM도 믿을만하다니 믿고먹어볼께요 좋은제품많이만들어주세요
3,3357809062,5,2022-01-31T05:41:50.751+0000,기존에 먹고 있던 오메가3가 다 되어 검색을 해 보다 RTG 제품 중 식물성인데다 임산부도 먹을 수 있는 안전한 제품이라기에 구매를 하였습니다. 현재 아내와 임신을 준비중이라 혹여 임신을 하더라도 함께 먹을 수 있는 제품을 찾고 있었는데 가격도 적당하고 알약 사이즈도 크지 않아 딱 좋은 것 같아 구입을 했습니다. 우통기한도 넉넉해서 만족합니다. 일단 먹어보고 괜찮으면 제구매하도록 하겠습니다.
4,3372577408,5,2022-02-21T10:23:24.252+0000,개별 포장으로 와서 좋긴한데 개인적으론 한통에 다 들어 있는게 더 좋긴한거 같아요. 얘는 하루에 2알 먹어야해서 두번 나눠 삼켜야해서 좀 귀찮아요. 할인도 하고 해서 가격은 저렴하게 잘 샀어요. 배송도 빠르고 아무튼 좋아요!
5,3374160881,5,2022-02-23T11:19:16.672+0000,"꾸준히 먹고있는 제품이라 이번에도 5박스!
오메가3는 하루에 두번 나눠먹어야 하는게 많은데 이제품은 한번에 두알먹으니 편해요~ 처음엔 속이 좀 거북했는데 먹다보니
괜찮아졌어요"
6,3373004908,5,2022-02-22T04:35:41.784+0000,"6개월정도 전부터 루테인지아잔틴 복용.
이번이 3번째 구매. 이번에는 알티지오메가도 같이 구입해봄.(아는 약사분이 알티지는 꼭 챙겨먹으라고해서...)
잘못먹으면 이물감이 들고 신물이 올라오는 스타일의 배우자를 데리고 살고 있어서  조금만 이상해도 안먹음......그럼...버림.....그런데 이건 잘먹음. 속이 편하고 효과를 보고 있다고 함.  덕분에 나도 먹기 시작함.
약알이 큰편이라 생각되었는데 걱정처럼 걸리진 않음.
앞으로 쭉 복용할 계획임. 이것만 먹는 배우자 때문임."
7,3357049662,5,2022-01-29T04:31:13.488+0000,포장도 꼼꼼하고 유통기한도 넉넉하고 배송도 빨라요. 원래 다른 오메가3 먹고 있었는데 gnm 으로 바꾸고 이것만 먹어요. 비리맛도 없고 크기고 적당하고 개별포장에 먹기도 편해서 계속 쭉 이것만 먹으려구요. 하루에 한알씩 먹는것도 간편해서 추천합니다! 온가족 gnm 으로 먹어서 자주 구매하고 있어요
8,3361577960,3,2022-02-07T05:55:53.097+0000,"엄마드실 기억력알티지 오메가3 랑 제가복용할알티지 오메가 3  구매했는데  알티지오메가3가 2박스만 왔어요?.상담요청해서 나머지 1박스 보내주신다고 친절히 처리해 주셔서 감사해요 두가지 캡슐크기가 다르네요
다른거 복용하다 바꿔보는건데 좋았으면하는 바램입니다"
9,3344301947,4,2022-01-11T12:25:56.850+0000,"2022년 1월 9일 주문하여 1월 10일 받았습니다.
총알 배송입니다.
식물성 rTG 오메가3 를 산다는 것이.. 실수를..
여럿이 나누어 먹고 빨리 다시 사야겠지요.
번창하세요."
