id,reviewContent,createDate,reviewScore,createTime
3366570463,33년만에 처음으로 영양제 입문했는데요~ 유산균. 오메가3. 루테인. 밀크씨슬. 멀티비타민 등등 전부 고려은단에서 샀어용ㅋㅋ 일단 체력도 는거 같고 무릎도 덜 아픈거 같아용 ㅋㅋ 그리고 제일 효과 짱인게 유산균과 밀크씨슬이요!! 제가 과민성대장이라서 컨디션 또는 먹는거에 따라 하루 두세번은 갔었는데 유산균먹고 하루 한번가고 질었던 응가도 조금 단단해지고 양도 많고 시원하게 보게됐어용ㅋㅋ 밀크씨슬은 주량이 소주 1병이었는데 2병까지도 괜찮아졌어욬ㅋㅋㅋ 다음날 속도 편하구 숙취도 덜해졌어용. 밀크씨슬과 유산균에서 효과를 봐서 다른거도 맹신하고 먹어볼게용~ 건강하고 질좋은 상품으로 오래 파세용~,2022-02-13,5,06:57:17
3364472467,저번에 아버지 생신 선물로 샀는데 요즘따라 제가 기운도 없고 음식도 안먹을때가 많아 멀티비타민 을 찾다가 청소년도 이 제품 먹어도 된다고 하셔서 한번 구매해봤어요. 안에는 10알씩 6개가 들어 있었고 유통기한도 2023년12월 23일로 넉넉했어요. 근데 저한테는 알약이 너무 컸어요😭 길이는 약2.4cm정도 였고 옆 두께는 약 0.6cm정도였어요 반으로 잘라서 먹고 있고 효과는 계속 먹어봐야 알 수 있을거 같네요,2022-02-10,5,11:56:01
3368089131,효과적으로는 솔직히 잘 모르겠어요(이제 한달 정도 먹고 있는 상태라~~) 사이즈는 조금 크기에 개별로 물과 함께 먹으면 크게 문제는 없더라구요,2022-02-15,5,09:54:04
3370513649,두말 할 필요가 없어요. 현대인에게는 영양제 하나 쯤은 꼭 먹어야 한다고 봅니다. 특히 코로나로 외출이 줄어든 만큼 필요한 영양소들이 부족한데 한알로 우리나라 사람에게 맞게 배합되어 더 좋습니다~ 한달 커피 두세잔 아끼고 건강 챙기시면 좋을 듯 하네요^^,2022-02-18,5,08:08:45
3364056600,금욜 늦은밤 주문 주말이 껴서  월욜날 받았습니다. 안전포장 배송되었구  알약 크기가 좀 커요.  오메가3 (큰거)보다 쬐금 작다 보심될꺼예요. 목넘김이 불편할 정돈 아녀서 다행였구 고려은단  비타민C 골드플러스랑 함께 복용하려 구매했습니다.  유통기한 23.12.12,2022-02-10,5,03:34:10
3370720359,잘 챙겨먹는 영양제입니다.. 배송 빠르고 좋은데.. 매번 필요없는 쇼핑백이 와서 아무리 종이라지만 매번 버리는것도 그냥 쓰레기 만드는것 같아 곤란하네요.. 선물용이 아니라 제가 먹는거라 굳이 필요없는데.. ㅜㅜ 고객센터 문의해보니 배송 메세지에 필요없다고 적으라 하셔서 그렇게 했는데도 반영이 안되더라구요.. 쇼핑백 선택사항으로 해주세요...,2022-02-18,5,13:08:38
3348180767,"상세한 리뷰는 사진마다 작성했어요. 딱히 빠지는 것도 없고, 제조사와 판매사가 같은 계열사인 것도 마음에 들고 가격도 이 정도면 저렴한 편이라 생각해서 2통째 구매했습니다.",2022-01-16,5,15:18:00
3362647295,고려은단은 워낙 유명한 회사라 믿고 구매했어요! 예전에는 비타민C를 먹었거든요. 목넘김은 그 느낌이랑 비슷했어요! 저는 칼슘이랑 비타민이랑 항상 같이먹어서 다먹으면 무조건 구매해놓는 편이랍니다. 그래서 이제 고려은단 멀티비타민으로 정착할려규요!,2022-02-08,5,11:08:33
3371430414,몸에 좋다는 거라지만 다 챙겨먹는 것도 어렵더라구요~간편하게 하루 한알만 먹는것 찾다가 구입합니다. 성분도 어지간한 비타민은 다 들어가 있더라구요 :) 선물하기도 괜찮은 것 같아요. 재구매합니다!,2022-02-19,5,13:26:51
3369856792,어제 밤 늦게 주문했는데 오늘 오전에 받았어요 쿠* 보다 빠르네요ㅋ 비타민C를 고려은단꺼 먹고 있어서 멀티랑 오메가도 이번에 처음 시켜봐요 알 크기가 작고 두알씩 먹는것도 있는데 전 큰 알약 잘 먹어서 한알 먹는 큰 사이즈로 구매했어요 사이즈 선택이 가능해서 좋네요  먹어보고 또 주문할게요,2022-02-17,5,11:49:26
